,dir_name,image_name,soft_max
0,/data3/TEST/A,A_005fbfn6.png,[0.9831618  0.01683814]
1,/data3/TEST/A,A_0060ug9j.png,[1.00000000e+00 1.03741536e-10]
2,/data3/TEST/A,A_00el4hwr.png,[1.3547017e-07 9.9999988e-01]
3,/data3/TEST/A,A_00h6ucsm.png,[0.9973826  0.00261745]
4,/data3/TEST/A,A_00hzao5p.png,[2.1300623e-07 9.9999976e-01]
5,/data3/TEST/A,A_00jghend.png,[9.9992514e-01 7.4875148e-05]
6,/data3/TEST/A,A_00kj5fih.png,[0.12960121 0.8703988 ]
7,/data3/TEST/A,A_00ww8c88.png,[1.0000000e+00 1.5175292e-08]
8,/data3/TEST/A,A_0102obzc.png,[9.9993885e-01 6.1191058e-05]
9,/data3/TEST/A,A_012n784o.png,[8.70427e-09 1.00000e+00]
10,/data3/TEST/A,A_014yzlf7.png,[0.15831842 0.8416816 ]
11,/data3/TEST/A,A_016d3o4o.png,[0.65625477 0.34374523]
12,/data3/TEST/A,A_01cays4r.png,[9.9995589e-01 4.4079934e-05]
13,/data3/TEST/A,A_01heykmf.png,[9.9998713e-01 1.2916645e-05]
14,/data3/TEST/A,A_01hr8c4e.png,[9.9980623e-01 1.9381949e-04]
15,/data3/TEST/A,A_01oi53jf.png,[5.9103424e-04 9.9940896e-01]
16,/data3/TEST/A,A_01ot0si0.png,[4.2322015e-05 9.9995768e-01]
17,/data3/TEST/A,A_01s09w01.png,[3.3053193e-06 9.9999666e-01]
18,/data3/TEST/A,A_01woq17a.png,[2.1385118e-09 1.0000000e+00]
19,/data3/TEST/A,A_01yfhcu3.png,[0.00555007 0.99445   ]
20,/data3/TEST/A,A_022zjg92.png,[0.75478005 0.24521993]
21,/data3/TEST/A,A_024brpvd.png,[1.0000e+00 6.7494e-09]
22,/data3/TEST/A,A_02rbamyc.png,[0.3117061 0.6882939]
23,/data3/TEST/A,A_02uzm375.png,[9.9999988e-01 1.2415235e-07]
24,/data3/TEST/A,A_032su8l9.png,[0.97261983 0.02738012]
25,/data3/TEST/A,A_036icyb3.png,[0.40841737 0.59158266]
26,/data3/TEST/A,A_03dtmhv5.png,[0.9850662  0.01493377]
27,/data3/TEST/A,A_03f0n5yi.png,[9.9955088e-01 4.4904032e-04]
28,/data3/TEST/A,A_03imw2bi.png,[0.13685821 0.8631418 ]
29,/data3/TEST/A,A_03kz0gfx.png,[7.8509025e-08 9.9999988e-01]
30,/data3/TEST/A,A_03uyowrq.png,[9.998940e-01 1.060149e-04]
31,/data3/TEST/A,A_045d4je5.png,[0.00793505 0.992065  ]
32,/data3/TEST/A,A_0488lkxh.png,[9.1417675e-04 9.9908578e-01]
33,/data3/TEST/A,A_04h0ah4l.png,[9.858451e-05 9.999014e-01]
34,/data3/TEST/A,A_04jgnt3q.png,[0.8754093  0.12459072]
35,/data3/TEST/A,A_05a3f9pb.png,[9.9999928e-01 6.5770513e-07]
36,/data3/TEST/A,A_05eeercw.png,[0.08717442 0.9128256 ]
37,/data3/TEST/A,A_05ei6j6q.png,[9.999466e-01 5.335658e-05]
38,/data3/TEST/A,A_05hmrwwd.png,[0.9855574  0.01444261]
39,/data3/TEST/A,A_05mn2ppb.png,[9.9999976e-01 2.6620700e-07]
40,/data3/TEST/A,A_05n9gwxr.png,[1.000000e+00 4.427625e-08]
41,/data3/TEST/A,A_05r360ki.png,[0.9959208  0.00407924]
42,/data3/TEST/A,A_05xkm5u1.png,[0.99377596 0.00622406]
43,/data3/TEST/A,A_05zjma5u.png,[0.22500575 0.7749943 ]
44,/data3/TEST/A,A_066p2v30.png,[0.01184248 0.9881576 ]
45,/data3/TEST/A,A_069wnb1n.png,[0.99655837 0.00344163]
46,/data3/TEST/A,A_06j8la9r.png,[9.9995136e-01 4.8627233e-05]
47,/data3/TEST/A,A_06u5bp17.png,[0.788199   0.21180102]
48,/data3/TEST/A,A_06z997qo.png,[0.65205985 0.34794015]
49,/data3/TEST/A,A_0746ox5y.png,[8.7428524e-04 9.9912578e-01]
50,/data3/TEST/A,A_07dgur0k.png,[2.6214855e-05 9.9997377e-01]
51,/data3/TEST/A,A_07j4v75l.png,[0.30878958 0.69121045]
52,/data3/TEST/A,A_07tfam2n.png,[9.9987602e-01 1.2394198e-04]
53,/data3/TEST/A,A_07wll4si.png,[0.9506941  0.04930589]
54,/data3/TEST/A,A_083bu9o5.png,[7.8347539e-06 9.9999213e-01]
55,/data3/TEST/A,A_087i9w1e.png,[0.6917276 0.3082724]
56,/data3/TEST/A,A_08ni4z55.png,[9.961547e-08 9.999999e-01]
57,/data3/TEST/A,A_08pnh39e.png,[0.9968161  0.00318388]
58,/data3/TEST/A,A_0954gkay.png,[1.3097881e-06 9.9999869e-01]
59,/data3/TEST/A,A_09g39yfm.png,[7.372958e-06 9.999926e-01]
60,/data3/TEST/A,A_09ghirk3.png,[9.9940252e-01 5.9745694e-04]
61,/data3/TEST/A,A_09mt9jga.png,[2.7163176e-07 9.9999976e-01]
62,/data3/TEST/A,A_09nol2m8.png,[0.00172523 0.9982748 ]
63,/data3/TEST/A,A_09qkex0s.png,[0.32233575 0.6776643 ]
64,/data3/TEST/A,A_0a33svh8.png,[9.6389896e-04 9.9903607e-01]
65,/data3/TEST/A,A_0a89cyj3.png,[9.9992514e-01 7.4854011e-05]
66,/data3/TEST/A,A_0a94cjsc.png,[1.0000000e+00 1.4125408e-08]
67,/data3/TEST/A,A_0ac7hsjk.png,[9.990429e-01 9.570555e-04]
68,/data3/TEST/A,A_0afiedt2.png,[0.11912885 0.8808711 ]
69,/data3/TEST/A,A_0agjt55m.png,[9.999341e-01 6.587010e-05]
70,/data3/TEST/A,A_0ahk846o.png,[9.9970078e-01 2.9920044e-04]
71,/data3/TEST/A,A_0aukebye.png,[0.00479356 0.9952064 ]
72,/data3/TEST/A,A_0awvlazv.png,[9.9986339e-01 1.3654055e-04]
73,/data3/TEST/A,A_0azgaxef.png,[0.9971879  0.00281208]
74,/data3/TEST/A,A_0b8k5wgc.png,[9.9999571e-01 4.3160167e-06]
75,/data3/TEST/A,A_0b9rjkbe.png,[0.98991805 0.01008202]
76,/data3/TEST/A,A_0bbm37tv.png,[0.00209571 0.9979043 ]
77,/data3/TEST/A,A_0bd9xo78.png,[0.99668425 0.00331576]
78,/data3/TEST/A,A_0bn38lcd.png,[1.0000000e+00 1.2703674e-10]
79,/data3/TEST/A,A_0bwv6t5w.png,[9.9966598e-01 3.3397373e-04]
80,/data3/TEST/A,A_0c6hukmh.png,[0.00334373 0.9966563 ]
81,/data3/TEST/A,A_0cbf103r.png,[0.9975885  0.00241154]
82,/data3/TEST/A,A_0ccbskye.png,[1.8540499e-06 9.9999809e-01]
83,/data3/TEST/A,A_0cdrtlsg.png,[9.999999e-01 1.460238e-07]
84,/data3/TEST/A,A_0ch81tyx.png,[1.000000e+00 1.150496e-09]
85,/data3/TEST/A,A_0cj49psx.png,[1.000000e+00 2.876206e-09]
86,/data3/TEST/A,A_0cjnwhpt.png,[4.336814e-07 9.999995e-01]
87,/data3/TEST/A,A_0clte66r.png,[0.02828519 0.9717148 ]
88,/data3/TEST/A,A_0cnez6gr.png,[4.7436965e-10 1.0000000e+00]
89,/data3/TEST/A,A_0cop5bmq.png,[9.9999940e-01 5.5730203e-07]
90,/data3/TEST/A,A_0cq7ganq.png,[9.9988389e-01 1.1614374e-04]
91,/data3/TEST/A,A_0d2nv4ey.png,[7.650316e-06 9.999924e-01]
92,/data3/TEST/A,A_0d5fx5qh.png,[1.000000e+00 2.673341e-09]
93,/data3/TEST/A,A_0d5n1qwe.png,[1.9063547e-08 1.0000000e+00]
94,/data3/TEST/A,A_0ddd2b66.png,[9.9993443e-01 6.5583044e-05]
95,/data3/TEST/A,A_0dows3dr.png,[9.9999106e-01 8.8937095e-06]
96,/data3/TEST/A,A_0dqf7i9x.png,[9.999511e-01 4.883645e-05]
97,/data3/TEST/A,A_0e7er1vg.png,[0.17251003 0.82749003]
98,/data3/TEST/A,A_0efhj9yx.png,[1.0769038e-05 9.9998927e-01]
99,/data3/TEST/A,A_0etwloqr.png,[0.05495659 0.94504344]
100,/data3/TEST/A,A_0f4mecqn.png,[0.7971594  0.20284063]
101,/data3/TEST/A,A_0f61mbfx.png,[0.9934349  0.00656509]
102,/data3/TEST/A,A_0f6hdf8t.png,[9.999993e-01 7.155414e-07]
103,/data3/TEST/A,A_0fu48pyd.png,[0.9945675  0.00543248]
104,/data3/TEST/A,A_0g2q80xs.png,[9.9999583e-01 4.1146354e-06]
105,/data3/TEST/A,A_0g6669k4.png,[0.9456928  0.05430719]
106,/data3/TEST/A,A_0gly006r.png,[0.14337283 0.85662717]
107,/data3/TEST/A,A_0gnonm31.png,[0.0642071  0.93579286]
108,/data3/TEST/A,A_0gqc8wri.png,[1.0000000e+00 1.3266043e-09]
109,/data3/TEST/A,A_0gw1fgjp.png,[9.9999797e-01 2.0566954e-06]
110,/data3/TEST/A,A_0gyf6h9w.png,[6.3788711e-06 9.9999356e-01]
111,/data3/TEST/A,A_0gz5mj4d.png,[9.9997914e-01 2.0875876e-05]
112,/data3/TEST/A,A_0h30wo22.png,[9.9992919e-01 7.0752656e-05]
113,/data3/TEST/A,A_0hb860i0.png,[7.533132e-06 9.999925e-01]
114,/data3/TEST/A,A_0hq0vwki.png,[0.00115851 0.99884146]
115,/data3/TEST/A,A_0htfinu5.png,[9.9999976e-01 2.5753312e-07]
116,/data3/TEST/A,A_0hzhg83g.png,[2.1651705e-07 9.9999976e-01]
117,/data3/TEST/A,A_0i3x8dk5.png,[1.0000000e+00 4.1433937e-10]
118,/data3/TEST/A,A_0i9v94kr.png,[0.96277094 0.037229  ]
119,/data3/TEST/A,A_0ifnk7um.png,[0.21031682 0.7896831 ]
120,/data3/TEST/A,A_0inmc29p.png,[0.00799162 0.9920083 ]
121,/data3/TEST/A,A_0iqvfyte.png,[9.9970824e-01 2.9173811e-04]
122,/data3/TEST/A,A_0ith9was.png,[9.999919e-01 8.133362e-06]
123,/data3/TEST/A,A_0iw6ruoi.png,[9.9998820e-01 1.1810475e-05]
124,/data3/TEST/A,A_0j0bcq3c.png,[0.95749533 0.0425047 ]
125,/data3/TEST/A,A_0j2nwkqm.png,[4.7906196e-06 9.9999523e-01]
126,/data3/TEST/A,A_0j4wfbs5.png,[0.00648851 0.9935115 ]
127,/data3/TEST/A,A_0j6i96v2.png,[0.62118775 0.37881225]
128,/data3/TEST/A,A_0jaz4ceu.png,[0.77671117 0.2232888 ]
129,/data3/TEST/A,A_0jlo3rjk.png,[0.00191532 0.99808466]
130,/data3/TEST/A,A_0jm7t72b.png,[6.948232e-09 1.000000e+00]
131,/data3/TEST/A,A_0jspp18p.png,[9.9999976e-01 2.3219276e-07]
132,/data3/TEST/A,A_0ju5qln9.png,[1.0000000e+00 1.0343983e-10]
133,/data3/TEST/A,A_0kdrh02g.png,[0.0031294 0.9968706]
134,/data3/TEST/A,A_0keg25wk.png,[0.29015303 0.709847  ]
135,/data3/TEST/A,A_0ksqpbpg.png,[9.9999976e-01 2.6344657e-07]
136,/data3/TEST/A,A_0ky257y5.png,[9.9996543e-01 3.4551384e-05]
137,/data3/TEST/A,A_0lcwaohb.png,[0.0023631 0.9976369]
138,/data3/TEST/A,A_0lhjznvs.png,[0.09717679 0.9028232 ]
139,/data3/TEST/A,A_0lju6zc6.png,[1.0000000e+00 1.0409936e-09]
140,/data3/TEST/A,A_0lnxmtt7.png,[0.97080266 0.02919736]
141,/data3/TEST/A,A_0lox12x2.png,[0.9962341  0.00376585]
142,/data3/TEST/A,A_0lqcc0ar.png,[0.00226802 0.9977319 ]
143,/data3/TEST/A,A_0lv20fzd.png,[0.9649922 0.0350078]
144,/data3/TEST/A,A_0lv3p39d.png,[9.9992394e-01 7.6028999e-05]
145,/data3/TEST/A,A_0lvi7z76.png,[7.5750845e-04 9.9924254e-01]
146,/data3/TEST/A,A_0lvs1gvi.png,[7.9434883e-04 9.9920565e-01]
147,/data3/TEST/A,A_0lygn5ey.png,[9.9998617e-01 1.3780796e-05]
148,/data3/TEST/A,A_0m17agus.png,[0.28461754 0.7153825 ]
149,/data3/TEST/A,A_0m2tywsm.png,[8.7185571e-04 9.9912816e-01]
150,/data3/TEST/A,A_0m708rhf.png,[0.9965364  0.00346358]
151,/data3/TEST/A,A_0m8kagu0.png,[0.8237953  0.17620465]
152,/data3/TEST/A,A_0mjysn7h.png,[0.06418485 0.93581516]
153,/data3/TEST/A,A_0mnde0ht.png,[9.9930799e-01 6.9203635e-04]
154,/data3/TEST/A,A_0mv5xle2.png,[1.0153578e-04 9.9989843e-01]
155,/data3/TEST/A,A_0mxi4qyf.png,[0.413683   0.58631694]
156,/data3/TEST/A,A_0ne326r6.png,[0.89561427 0.10438572]
157,/data3/TEST/A,A_0nht11l3.png,[0.99121934 0.0087806 ]
158,/data3/TEST/A,A_0nidni48.png,[0.11228698 0.88771296]
159,/data3/TEST/A,A_0njm9s5w.png,[1.000000e+00 4.311609e-08]
160,/data3/TEST/A,A_0nv8rq6d.png,[9.9991655e-01 8.3397055e-05]
161,/data3/TEST/A,A_0o363al9.png,[0.95790327 0.04209679]
162,/data3/TEST/A,A_0o3m6c6f.png,[8.511305e-08 9.999999e-01]
163,/data3/TEST/A,A_0o8q7zwi.png,[1.000000e+00 8.147167e-10]
164,/data3/TEST/A,A_0o9zv0vh.png,[9.9989867e-01 1.0130376e-04]
165,/data3/TEST/A,A_0objma4t.png,[9.9999750e-01 2.4893197e-06]
166,/data3/TEST/A,A_0odbf8ev.png,[9.9999797e-01 2.0750654e-06]
167,/data3/TEST/A,A_0oddsk6w.png,[0.49397022 0.5060298 ]
168,/data3/TEST/A,A_0ogyyjnv.png,[0.9864276  0.01357241]
169,/data3/TEST/A,A_0opeo9z8.png,[9.9999964e-01 4.0405132e-07]
170,/data3/TEST/A,A_0osevik1.png,[0.9916609  0.00833919]
171,/data3/TEST/A,A_0owyookk.png,[0.8569479  0.14305212]
172,/data3/TEST/A,A_0p3r7xky.png,[9.9999416e-01 5.7987509e-06]
173,/data3/TEST/A,A_0pbj4qpi.png,[0.86249524 0.13750477]
174,/data3/TEST/A,A_0pcmioxr.png,[1.0000000e+00 1.1710419e-08]
175,/data3/TEST/A,A_0pfzbx7i.png,[0.7895376  0.21046236]
176,/data3/TEST/A,A_0pjyckgg.png,[7.446115e-11 1.000000e+00]
177,/data3/TEST/A,A_0pk22csa.png,[9.999349e-01 6.502488e-05]
178,/data3/TEST/A,A_0pnimvve.png,[0.9953961  0.00460387]
